id,en,vi,wordClass
214,regret,"lòng thương tiếc,sự hối tiếc",n
215,minute,phút,n
216,suck,"bú,hút",v
217,capital,"thủ đô,tiền vốn",n
218,capital,"chủ yếu,chính yếu",adj
219,accuse,"tố cáo,buộc tội",v
220,proud,"tự hào,kiêu hãnh",adj
221,female,thuộc giống cái,adj
222,female,giống cái,n
223,reply,"sự trả lời,sự hồi âm",n
224,reply,"trả lời,hồi âm",v
225,tear,"xé,làm rắch",v
226,tear,"chỗ rách,miếng xe",n
227,drugstore,"hiệu thuốc,cửa hàng dược phẩm",n
228,armed,vũ trang,adj
229,useless,"vô ích,vô dụng",adj
230,introduce,giới thiệu,v
231,weekend,cuối tuần,n
232,always,luôn luôn,adv
233,thinking,"sự suy nghĩ,ý nghĩ",n
234,bowl,cái bát,n
235,allow,"cho phép,để cho",v
236,yourself,"pro tự anh,tự chị,chính anh",n
237,act,"hành động,hành vi,cử chỉ",n
238,branch,ngành,n
239,suited,"hợp,phù hợp",adj
240,debate,"cuộc tranh luận,cuộc tranh cãi",n
241,debate,"tranh luận,bàn cãi",v
242,football,bóng đá,n
243,unemployment,"sự thất nghiệp,tình trạng thất nghiệp",n
244,economic,Kinh tế,adj
245,superior,"cao hơn,mạnh hơn,người cấp trên",n
246,squeeze,"ép,vắt",v
247,squeeze,"sự ép,sự vắt",n
248,complicated,"phức tạp,rắc rối",adj
249,unreasonable,vô lý,adj
250,unable,"không có năng lực,không có tài",adj
251,encourage,"động viên,ủng hộ,giúp đỡ",v
252,emotion,"sự xúc động,sự cảm động",n
253,cut,"cắt,chặt",v
254,cut,sự cắt,n
255,break,"bẻ gãy,đập vỡ",v
256,break,"sự gãy,sự vỡ",n
257,laugh,cười,v
258,laugh,tiếng cười,n
259,type,"loại,kiểu",n
260,type,"phân loại,xếp loại",v
261,wild,"dại,hoang",adj
262,fight,"đấu tranh,chiến đấu",v
263,fight,"sự đấu tranh,cuộc chiến đấu",n
264,impact,"sự và chạm,sự tác động",n
265,willing,"bằng lòng,vui lòng",adj
266,suggest,"đề nghị,đề xuất",v
267,expect,"chờ đợi,mong ngóng",v
268,persuade,thuyết phục,v
269,knee,đầu gối,n
270,plastic,"chất dẻo,làm bằng chất dẻo",n
271,ultimately,"cuối cùng,sau cùng",adv
272,location,"vị trí,sự định vị",n
273,flavour,"vị,mùi",n
274,flavour,"cho gia vị,làm tăng thêm mùi vị",v
275,intelligence,"sự hiểu biết,trí thông minh",n
276,warning,"sự báo trước,lời cảnh báo",n
277,lump,"cục,tảng",n
278,treat,"đối xử,đối đãi",v
279,speaker,"người nói,người diễn thuyết",n
280,advice,"lời khuyên,lời chỉ bảo",n
281,object,"vật,vật thể",n
282,award,phần thưởng,n
283,award,"tặng,thưởng",v
284,export,xuất khẩu,v
285,export,"hàng xuất khẩu,sự xuất khẩu",n
286,across,"qua,ngang qua",adv
287,identify,"nhận biết,nhận ra",v
288,layer,lớp,n
289,match,"trận thi đấu,đối thủ",n
290,match,"đối chọi,sánh được",v
291,collapse,"đổ,sụp đổ",v
292,collapse,"sự đổ nát,sự sụp đổ",n
293,earn,"kiếm,giành",v
294,clear,"lau chùi,quét dọn",adj
295,situation,"hoàn cảnh,địa thế",n
296,suspicion,"sự nghi ngờ,sự ngờ vực",n
297,vary,"thay đổi,làm cho khác nhau",v
298,mouth,miệng,n
299,decision,"sự quyết định,sự giải quyết",n
300,regulation,"sự điều chỉnh,điều lệ",n
301,curb,"kiềm chế,nén lại",v
302,prove,"chứng tỏ,chứng minh",v
303,specially,"đặc biệt,riêng biệt",adv
304,courage,"sự can đảm,sự dũng cảm",n
305,bake,"nung,nướng bằng lò",v
306,amuse,"làm cho vui,thích,làm buồn cười",v
307,novel,"tiểu thuyết,truyện",n
308,laboratory,phòng thí nghiệm,n
309,wind,"gió,quấn lại",n
310,proof,"chứng,chứng cớ",n
311,metre,mét,n
312,pepper,"hạt tiêu,cây ớt",n
313,rent,sự thuê mướn,n
314,rent,"cho thuê,thuê",v
315,acquire,"dành được,đạt được",v
316,lesson,bài học,n
317,rub,"cọ xát,xoa bóp,nghiền",v
318,hard,"cứng,rắn",adj
319,hard,"hết sức cố gắng,tích cực",adv
320,arrival,"sự đến,sự tới nơi",n
321,meaning,"ý,ý nghĩa",n
322,define,định nghĩa,v
323,worth,"đáng giá,có giá trị",adj
324,accidental,"tình cờ,bất ngờ",adj
325,motor,động cơ mô tô,n
326,lack,sự thiếu,n
327,lack,thiếu,v
328,peaceful,"hòa bình,thái bình",adj
329,complete,"hoàn thành,xong",adj
330,downstairs,"ở dưới nhà,ở tầng dưới",adv
331,downstairs,"xuống gác,tầng dưới",adj
332,perhaps,"có thể,có lẽ",adv
333,painting,sự sơn,n
334,decorative,"để trang hoàng,để trang trí",adj
335,screw,"đinh vít,đinh ốc",n
336,screw,"bắt vít,bắt ốc",v
337,dot,"chấm nhỏ,điểm",n
338,choose,"chọn,lựa chọn",v
339,steady,"vững chắc,vững vàng",adj
340,cell,"ô,ngăn",n
341,urgent,"gấp,khẩn cấp",adj
342,trend,"phương hướng,xu hướng",n
343,faucet,vòi,n
344,excuse,"lời xin lỗi,bào chữa",n
345,excuse,"xin lỗi,tha thứ",v
346,closed,"bảo thủ,không cởi mở",adj
347,link,"mắt xích,mối liên lạc",n
348,link,"liên kết,kết nối",v
349,ask,hỏi,v
350,freely,"tự do,thoải mái",adv
351,locate,"xác định vị trí,định vị",v
352,steam,hơi nước,n
353,soup,"xúp,canh",n
354,finish,"kết thúc,hoàn thành",v
355,finish,"sự kết thúc,phần cuối",n
356,evidence,"điều hiển nhiên,điều rõ ràng",n
357,swelling,"sự sưng lên,sự phồng ra",n
358,area,"diện tích,bề mặt",n
359,hold,"cầm,nắm",v
360,hold,"sự cầm,sự nắm giữ",n
361,back,"lưng",n
363,moral,có đạo đức,adj
364,pound,pao - đơn vị đo lường,n
365,create,"sáng tạo,tạo nên",v
366,annoying,"chọc tức,làm bực mình",adj
367,silk,"tơ,chỉ",n
368,reproduce,tái sản xuất,v
369,parent,"cha,mẹ",n
370,lucky,"gặp may,gặp may mắn",adj
371,season,mùa,n
372,tube,"ống,tuýp",n
373,worry,"lo lắng,suy nghĩ",v
374,worry,"sự lo lắng,suy nghĩ",n
375,label,"nhãn,mác",n
376,label,"dán nhãn,ghi mác",v
377,anyway,"thế nào cũng được,dù sao chăng nữa",adv
378,combine,"kết hợp,phối hợp",v
379,competition,"sự cạnh tranh,cuộc thi",n
380,possess,"có,chiếm hữu",v
381,bear,"mang,cầm,vác",v
382,spoon,cái thìa,n
383,search,"sự tìm kiếm,sự thăm dò",n
384,search,"tìm kiếm,thăm dò",v
385,ingredient,"phần hợp thành,thành phần",n
386,bacteria,vi khuẩn,n
387,philosophy,"triết học,triết lý",n
388,illustrate,"minh họa,làm rõ ý",v
389,birthday,"ngày sinh,sinh nhật",n
390,stable,"ổn định,bình tĩnh",adj
391,stable,chuồng ngưa,n
392,former,"trước,cũ,xưa",adj
393,gear,"cơ cấu,thiết bị",n
394,post,"thư,bưu kiện",n
395,post,gửi thư,v
396,upsetting,"tính đánh đổ,làm đổ",adj
397,truck,rau quả tươi,n
398,gamble,đánh bạc,v
399,gamble,cuộc đánh bạc,n
400,special,"đặc biệt,riêng biệt",adj
401,intended,"có ý định,có dụng ý",adj
402,unhappy,"buồn rầu,khốn khổ",adj
403,smash,"đập,vỡ tan thành mảnh",v
404,smash,"sự đập,vỡ tàn thành mảnh",n
405,improvement,"sự cái thiện,sự cải tiến",n
406,generate,"sinh,đẻ ra",v
407,factor,nhân tố,n
408,aside,"về một bên,sang một bên",adv
409,collection,"sự sưu tập,sự tụ họp",n
410,brush,bàn chải,n
411,brush,"chải,quét",v
412,pay attention,chú ý tới,+to
413,journey,cuộc hành trình,n
415,physical,vật chất,adj
416,physical,"cơ thể,thân thể",n
417,lose,"mất,thua",v
418,whisper,"nói thì thầm,xì xào",v
419,whisper,"tiếng nói thì thầm,tiếng xì xào",n
420,generation,"sự sinh ra,sự phát sinh ra",n
421,due,đến kỳ hạn,adj
423,chance,sự may mắn,n
424,plane,"mặt phẳng,mặt bằng",n
425,drug,"thuốc,dược phẩm",n
426,immediately,ngay lập tức,adv
427,unfair,"gian lận,không công bằng",adj
428,bored,buồn chán,adj
429,appoint,"bổ nhiệm,chỉ định",v
430,complex,"phức tạp,rắc rối",adj
431,claim,"đòi hỏi,yêu sách",v
432,claim,"sự đòi hỏi,sự yêu sách",n
433,chemist,nhà hóa học,n
434,disadvantage,"sự bất lợi,sự thiệt hại",n
435,put,"đặt,để",v
436,unemployed,"không dùng,thất nghiệp",adj
437,observation,"sự quan sát,sự theo dõi",n
438,device,kế sách,n
439,grade,"điểm,điểm số",n
440,grade,"phân loại,xếp loại",v
441,automatically,một cách tự động,adv
442,curtain,màn,n
443,fail,"sai,thất bại",v
444,buy,mua,v
445,control,"sự điều khiển,quyền hành,quyền lực",n
446,whose,pro của ai,n
447,seal,hải cẩu,n
448,seal,săn hải cẩu,v
449,influence,"sự ảnh hưởng,sự tác dụng",n
450,influence,"ảnh hưởng,tác động",v
451,missing,"vắng,thiếu",adj
452,covered,"có mái che,kín đáo",adj
453,fly,bay,v
454,fly,"sự bay,quãng đường bay",n
455,delivery,"sự phân phát,sự phân phối",n
456,deep,"sâu,khó lường",adj
457,geography,"địa lý,khoa địa lý",n
458,scare,"làm kinh hãi,sợ hãi",v
459,scare,"sự sợ hãi,sự kinh hoàng",n
460,entry,"sự ghi vào sổ sách,sự đi vào",n
461,unexpectedly,"bất ngờ,đột ngột",adv
462,formal,"trang trọng,theo nghi thức",adj
463,assistance,sự giúp đỡ,n
464,grammar,"ngữ pháp,văn phạm",n
465,unimportant,không quan trọng,adj
466,unreasonable,vô lý,adj
467,film,"phim,được dựng thành phim",n
468,receive,"nhận,lĩnh",v
469,plug,nút,n
470,gambling,trò cờ bạc,n
471,tax,thuế,n
472,tax,đánh thuế,v
473,faint,"nhút nhát,yếu ớt",adj
474,dentist,nha sĩ,n
475,stupid,"ngu ngốc,ngu đần",adj
476,presence,"sự hiện diện,sự có mặt",n
477,biology,sinh vật học,n
478,smoothly,"một cách êm ả,trôi chảy",adv
479,simply,"một cách dễ dàng,giản dị",adv
480,stuff,"chất liệu,chất",n
481,once,một lần,adv
482,once,"khi mà,ngay khi",conj
483,officially,"một cách trịnh trọng,một cách chính thứ",adv
484,royal,"vua,nữ hoàng",adj
485,shift,"đổi chỗ,dời chỗ,chuyển",v
486,shift,"sự thay đổi,sự luân phiên",n
487,steep,"dốc,dốc đứng",adj
488,untidy,"không gọn gàng,không ngăn nắp",adj
489,because of,"vì,do bởi",prep
490,rid,giải thoát,v
491,equally,"bằng nhau,ngang bằng",adv
492,even,"ngay cả,ngay",adv
493,even,"bằng phẳng,điềm đạm",adj
494,unite,"liên kết,hợp nhất,hợp lại",v
495,commission,"hội đồng,ủy ban,sự ủy nhiệm",n
496,seriously,"đứng đắn,nghiêm trang",adv
497,presumably,"có thể được,có lẽ",adv
498,teacher,giáo viên,n
499,rule,"quy tắc,điều lệ",n
500,rule,"cai trị,chỉ huy",v
501,raw,"sống,thô",adj
502,permit,"/'pə:mit/ cho phép,cho cơ hội",v
503,scheme,"sự sắp xếp,sự phối hợp",n
504,race,"loài,chủng",n
505,race,cuộc đua,v
506,reasonable,"có lý,hợp lý",adj
507,use,"sử dụng,dùng",v
508,use,"sự dùng,sự sử dụng",n
509,target,"bia,mục tiêu",n
510,focus,tập trung,v
511,focus,"trung tâm,trọng tâm",n
512,captain,"người cầm đầu,người chỉ huy",n
513,suit,"bộ com lê,trang phục",n
514,suit,"thích hợp,quen",v
515,build,xây dựng,v
516,council,hội đồng,n
517,festival,"lễ hội,đại hội liên hoan",n
518,tiny,"rất nhỏ,nhỏ xíu",adj
519,push,xô đẩy,v
520,push,sự xô đẩy,n
521,personal,"cá nhân,tư",adj
522,effective,"có kết quả,có hiệu lực",adj
523,giant,"người khổng lồ,người phi thường",n
524,giant,"khổng lồ,phi thường",adj
525,impressive,gây ấn tượng mạnh,adj
526,ridiculous,"buồn cười,lố bịch",adj
527,communication,"sự giao tiếp,liên lạc,sự truyền đạt",n
528,drag,"lôi kéo,kéo lê",v
529,west,"phía Tây,theo phía tây",n
530,adequately,"tương xứng,thỏa đáng",adv
531,politician,"nhà chính trị,chính khách",n
532,amazing,"kinh ngạc,sửng sốt",adj
533,invite,mời,v
534,document,"văn kiện,tài liệu",n
535,reach,"đến,đi đến",v
536,northern,Bắc,adj
537,sorry,"xin lỗi,lấy làm tiếc",adj
538,invest,đầu tư,v
539,awkwardly,"vụng về,lung túng",adv
540,approach,"đến gần,lại gần",v
541,approach,"sự đến gần,sự lại gần",n
542,could,có thể,v
543,web,"mạng,lưới",n
544,offend,"xúc phạm,làm bực mình",v
545,already,"đã,rồi",adv
546,reason,"lý do,lý lẽ",n
547,wall,"tường,vách",n
548,assist,"giúp,giúp đỡ",v
549,bin,"thùng,thùng đựng rượu",n
550,further,"xa hơn nữa,thêm nữa",adj
551,nuclear,hạt nhân,adj
552,carry,"mang,vác",v
553,edition,"nhà xuất bản,sự xuất bản",n
554,cough,"ho,sự ho",v
555,still,đứng yên,adv
556,still,"vẫn,vẫn còn",adj
557,few,"pro ít,vài",adj
558,few,"một ít,một vài",n
559,left,bên trái,adv
560,left,về phía trái,n
561,adapt,"tra,lắp vào",v
562,written,"viết ra,được thảo ra",adj
563,thirsty,"khát,cảm thấy khát",adj
564,nicely,"thú vị,dễ chịu",adv
565,justify,"bào chữa,biện hộ",v
566,finance,tài chính,n
567,finance,"tài trợ,cấp vốn",v
568,beauty,"vẻ đẹp,cái đẹp",n
569,indoors,ở trong nhà,adv
570,mobile,"chuyển động,di động",adj
571,lively,"sống,sinh động",adj
572,defend,"che chở,bảo vệ",v
573,alcoholic,"rượu,người nghiện rượu",adj
574,heating,"sự đốt nóng,sự làm nóng",n
575,practical,thực hành,adj
576,occupy,"giữ,chiếm lĩnh",v
577,alphabet,"bảng chữ cái,bước đầu",n
578,resolve,"quyết tâm,ý kiên quyết",n
579,resolve,giải quyết,v
580,text,"nguyên văn,bản văn,chủ đề",n
581,end,"giới hạn,sự kết thúc",n
582,end,"kết thúc,chấm dứt",v
583,alternatively,như một sự lựa chọn,adv
584,twin,"sinh đôi,tạo thành cặp",n
585,twin,cặp song sinh,adj
588,between,"giữa,ở giữa",prep
589,permanently,"cách thường xuyên,vĩnh cửu",adv
590,advantage,"sự thuận lợi,lợi ích",n
591,publish,"công bố,ban bố",v
592,provided,"với điều kiện là,miễn là",conj
593,amount,"số lượng,số nhiều",n
594,amount,lên tới,v
595,solid,rắn,adj
596,solid,"thể rắn,chất rắn",n
597,victim,nạn nhân,n
598,aspect,"vẻ bề ngoài,diện mạo",n
599,refer to,"xem,tham khảo",v
600,original,"gốc,nguồn gốc",adj
601,original,nguyên bản,n
602,length,"chiều dài,độ dài",n
603,ticket,vé,n
604,struggle,đấu tranh,v
605,struggle,"cuộc đấu tranh,cuộc chiến đấu",n
606,fever,"cơn sốt,bệnh sốt",n
607,context,"văn cảnh,khung cảnh",n
608,sick,"ốm,đau",adj
609,charge,"nhiệm vụ,bổn phận",n
610,charge,"giao nhiệm vụ,giao việc",v
611,stripe,"sọc,vằn",n
612,wrap,"gói,bọc",v
613,significantly,đáng kể,adv
614,employment,sự thuê mướn,n
615,medical,y học,adj
616,raise,"nâng lên,đưa lên",v
617,desperately,"liều lĩnh,liều mạng",adv
618,national,"quốc gia,dân tộc",adj
619,disgust,"làm ghê tởm,làm kinh tởm",v
620,false,"sai,nhầm",adj
621,centimetre,xen ti met,n
622,nature,"tự nhiên,thiên nhiên",n
623,thoroughly,"kỹ lưỡng,thấu đáo",adv
624,call,gọi,v
625,call,"tiếng kêu,tiếng gọi",n
626,dear,"thân,thân yêu",adj
627,curious,"ham muốn,tò mò",adj
628,statement,"sự bày tỏ,sự phát biểu",n
629,responsible,"chịu trách nhiệm về,chịu trách nhiệm trước ai",adj
630,decorate,"trang hoàng,trang trí",v
631,loudly,"ầm ĩ,inh ỏi",adv
632,alarmed,báo động,adj
633,and,và,conj
634,measure,"đo,đo lường",v
635,measure,"sự đo lường,đơn vị đo lường",n
636,aware,"biết,nhận thức",adj
637,desk,bàn,n
638,wide,"rộng,rộng lớn",adj
639,share,"đóng góp,tham gia",v
640,share,"phần đóng góp,phần tham gia",n
641,release,"làm nhẹ,bớt,thả",v
642,release,"sự giải thoát,thoát khỏi",n
643,embarrassed,"lúng túng,bối rối",adj
644,think,"nghĩ,suy nghĩ",v
645,particularly,"một cách đặc biệt,cá biệt",adv
646,firm,"hãng,công ty",n
647,firm,"chắc,kiên quyết",adj
648,apple,quả táo,n
649,crucial,"quyết định,cốt yếu",adj
650,borrow,"vay,mượn",v
651,cool,"mát mẻ,điềm tĩnh",adj
652,cool,làm mát,v
653,regarding,"về,về việc",prep
654,news,"tin,tin tức",n
655,artificial,nhân tạo,adj
656,other,pro khác,adj
657,tired,"mệt,muốn ngủ",adj
658,row,"hàng,dãy",n
659,supermarket,siêu thị,n
660,button,"cái nút,cái khuy",n
661,attempt,"sự cố gắng,sự thử",n
662,attempt,"cố gắng,thử",v
663,quantity,"lượng,số lượng",n
664,leather,"bỏ đi,rời đi",v
665,march,"diễu hành,hành quân",v
666,march,"cuộc hành quân,cuộc diễu hành",n
667,dissolve,"tan rã,phân hủy",v
668,nerve,"khí lực,thần kinh",n
669,conventional,quy ước,adj
670,ruler,"người cai trị,người trị vì",n
671,alarming,"làm lo sợ,làm hốt hoảng",adj
672,unlucky,"không gặp may,bất hạnh",adj
673,bone,xương,n
674,presentation,"bài thuyết trình,sự trình diện",n
675,precise,"rõ ràng,chính xác",adj
676,devoted,"hiến cho,dâng cho",adj
677,importance,"sự quan trọng,tầm quan trọng",n
678,usual,"thông thường,thường dùng",adj
679,pair,"đôi,cặp",n
680,another,"khác",n
681,ally,"nước đồng minh,liên minh",n
682,ally,"liên kết,kết thông gia",v
683,escape,"trốn thoát,thoát khỏi",v
684,escape,"sự trốn thoát,lỗi thoát",n
685,replace,thay thế,v
686,indirect,gián tiếp,adj
687,roof,"mái nhà,nóc",n
688,awful,"oai nghiêm,dễ sợ",adj
689,winter,mùa đông,n
690,religious,tôn giáo,adj
691,successfully,"thành công,thắng lợi",adv
692,routine,"thói thường,lệ thường",n
693,routine,"thường lệ,thông thường",adj
694,see,"nhìn,nhìn thấy",v
695,pronounce,"tuyên bố,thông báo",v
696,extent,"quy mô,phạm vi",n
697,unknown,"không biết,không được nhận ra",adj
698,definitely,"rạch ròi,dứt khoát",adv
699,hearing,"sự nghe,thính giác",n
700,towel,"khăn tắm,khăn lau",n
701,air,"không khí,bầu không khí",n
702,file,"hồ sơ,tài liệu",n
703,will,sẽ,v
704,will,"ý chí,ý định",n
705,last,"lầm cuối,sau cùng",adv
706,last,người cuối cùng,n
707,restore,"hoàn lại,trả lại",v
708,public,"chung,công cộng",adj
709,public,"công chúng,nhân dân",n
710,editor,"người thu thập và xuất bản,chủ bút",n
711,entertainer,"người quản trò,người tiếp đãi",n
712,cheerfully,"vui vẻ,phấn khởi",adv
713,close,"gần,thân thiết,chặt chẽ,đóng",v
714,shallow,"nông,cạn",adj
715,thin,"mỏng,mảnh",adj
716,narrow,"hẹp,chật hẹp",adj
717,producer,nhà sản xuất,n
